"element","name","card_name","card","rarity","max_lv","cost","atk","defense","hp","support","main_race","secondary_race","generation","main_skill","main_skill_turns","leader_skill","leader_skill_turns","source_page"
"Dark","Impmon","","1-083","Common","10","1","61","24","22","32","Dark","N/A","Child","Holy Support","5","Small Damage Return","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Keramon","","1-084","Common","10","1","35","24","48","24","Dark","N/A","Child","Small Damage to All","8","Small Dark Defense Boost","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Candmon","","1-085","Common","10","1","35","21","47","26","Dark","N/A","Child","Small Dark Attack Boost","7","Holy Support","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Picodevimon","PicoDevimon","1-086","Common","10","1","34","23","47","25","Dark","N/A","Child","Small Damage Return","5","Evolution 1","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Wizarmon","","1-087","Common","20","2","89","67","48","98","Dark","N/A","Adult","Dark Drive","5","Small Absorption","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Devimon","","1-088","Uncommon","20","2","63","44","72","53","Dark","N/A","Adult","Medium Damage Return","7","Dark Drive","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Bakemon","","1-089","Common","10","2","48","41","67","41","Dark","N/A","Adult","Dark Drive","5","Medium Dark Attack Boost","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Orgemon","","1-090","Uncommon","20","2","60","49","70","42","Dark","N/A","Adult","Evolution 1","6","All Attack","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Meramon","","1-091","Uncommon","20","2","56","48","75","48","Dark","N/A","Adult","Medium Dark Attack Boost","9","Small Absorption","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Bluemeramon","BlueMeramon","1-095","Rare","30","3","79","66","94","72","Dark","N/A","Perfect","Large Dark Attack Boost","14","Large Damage Return","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Deathmeramon","DeathMeramon","1-096","Rare","30","4","80","78","98","67","Dark","N/A","Perfect","Large Dark Attack Boost","14","Large Recovery Boost","11","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Fantomon","","1-097","Rare","30","3","73","66","90","60","Dark","N/A","Perfect","Holy Seal","5","Large Damage to All","16","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Infermon","","1-098","Rare","30","3","72","77","91","67","Dark","N/A","Perfect","Large Damage to All","16","Enemy Defense Down Large","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Ladydevimon","LadyDevimon","1-099","Queen","40","4","88","80","104","81","Dark","N/A","Perfect","Large Damage Return","10","Dark Drive","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Vamdemon","","1-100","Queen","40","4","91","82","102","81","Dark","N/A","Perfect","Large Damage Return","10","Large Dark Attack Boost","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Demon","","1-103","King","50","6","110","105","123","92","Dark","N/A","Ultimate","Large Absorption","9","Holy Seal","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Lilithmon","","1-104","King","50","4","98","90","114","86","Dark","N/A","Ultimate","Extra Large Damage Return","13","All Dark","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Piemon","","1-107","Queen","40","5","98","92","115","96","Dark","N/A","Ultimate","All Dark","10","Weaken Holy Enemies","12","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Goburimon","","2-061","Common","10","2","43","26","53","30","Dark","N/A","Child","All Attack","5","Small Damage Return","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Devidramon","","2-064","Uncommon","20","3","58","64","74","46","Dark","N/A","Adult","Medium Damage Return","7","Medium Defense Boost","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Chimairamon","","2-068","God +","60","6","162","149","272","130","Dark","N/A","Ultimate","Suicide Attack","11","Medium Recovery","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Neodevimon","NeoDevimon","2-069","Rare","30","4","85","72","95","68","Dark","N/A","Perfect","Small Absorption","6","All Attack","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Venomvamdemon","VenomVamdemon","2-071","Queen","40","5","103","91","110","81","Dark","N/A","Ultimate","Extra Large Damage Return","14","Extreme Elements","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Cherubimon (evil)","Cherubimon (Evil)","2-072","God","60","6","193","189","164","98","Dark","N/A","Ultimate","Weaken All Enemies","14","Extreme Elements","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Blackseraphimon","BlackSeraphimon","2-074","Queen","40","5","100","88","112","86","Dark","N/A","Ultimate","Large Absorption","10","All Dark","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Belialvamdemon","BelialVamdemon","2-075","Queen","60","5","128","146","124","95","Dark","N/A","Ultimate","Dark Release","7","Small Absorption","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Millenniumon","","2-076","God","60","7","218","128","209","131","Dark","N/A","Ultimate","Small Enemy Attack Delay","9","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Phascomon","","3-057","Common","10","1","40","39","56","26","Dark","N/A","Child","Small Dark Defense Boost","7","Small Enemy Attack Delay","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Porcupamon","","3-061","Common","30","2","64","68","82","38","Dark","N/A","Adult","Holy Support","5","Medium Dark Attack Boost","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Astamon","","3-062","Uncommon","50","3","110","108","78","28","Dark","N/A","Perfect","Large Damage Return","10","All Dark","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Skullsatamon","SkullSatamon","3-064","Rare","30","3","71","76","87","58","Dark","N/A","Perfect","Small Absorption","6","Weaken Holy Enemies","12","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Marindevimon","MarinDevimon","3-066","Queen","40","3","123","135","88","80","Dark","N/A","Perfect","Large Absorption","10","Medium Dark Defense Boost","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Armagemon","","3-068","Queen","40","5","96","96","112","78","Dark","N/A","Ultimate","Extra Large Damage to All","20","Large Skill Boost","20","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Barbamon","","3-070","God","60","5","202","232","212","191","Dark","N/A","Ultimate","Holy Seal","4","75% Defense","16","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Belphemon: Ragemode","Belphemon: Rage Mode","3-071","King","60","5","129","110","111","52","Dark","N/A","Ultimate","Weaken All Enemies","14","Evolution 2","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Metaletemon","MetalEtemon","3-072","Queen","40","5","95","92","114","95","Dark","N/A","Ultimate","Big Enemy Attack Delay","15","Dark Drive","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Neovamdemon","NeoVamdemon","4-072","Rare","30","3","86","73","98","67","Dark","N/A","Xros Wars","Suicide Attack","12","Recovery Boost 2","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Chrysalimon","","4-082","Uncommon","20","2","56","50","71","48","Dark","N/A","Adult","Medium Damage to All","12","Medium Recovery Boost","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Devimon & Lady Devimon","Devimon & LadyDevimon","5-001","God","60","4","77","38","74","60","Dark","Dark","Perfect/Adult","All Dark","10","Weaken Holy Enemies","12","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Omegamon Zwart","","5-059","King","60","6","124","118","128","88","Dark","N/A","Ultimate","Big Enemy Attack Delay","14","Weaken All Enemies","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Armagemon","","5-228","Queen","50","5","116","190","132","98","Dark","N/A","Ultimate","Extra Large Damage to All","19","Large Skill Boost","19","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Neovamdemon","NeoVamdemon","5-229","SP","50","3","153","131","134","111","Dark","N/A","Xros Wars","Suicide Attack","11","Large Recovery","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Belphemon: Ragemode","Belphemon: Rage Mode","5-231","King","60","5","154","135","136","77","Dark","N/A","Ultimate","Weaken All Enemies","14","All Attack","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Lilithmon","","5-236","God","60","5","129","146","142","123","Dark","N/A","Ultimate","Large Absorption","3","All Dark","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Venomvamdemon","VenomVamdemon","5-317","Queen","40","5","113","95","120","87","Dark","N/A","Ultimate","Extra Large Damage Return","13","Extreme Elements","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Evilmon","","5-499","Common","20","2","64","38","67","31","Dark","N/A","Adult","Holy Support","5","Medium Dark Attack Boost","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Mephismon","","5-500","Uncommon","20","3","61","75","83","51","Dark","N/A","Perfect","Small Absorption","6","Enemy Defense Down Large","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Avengekidmon","AvengeKidmon","5-502","God","60","7","109","112","132","110","Dark","N/A","Ultimate","Holy Seal","4","Small Absorption","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Magnakidmon","MagnaKidmon","5-517","King","50","6","127","107","136","108","Dark","N/A","Ultimate","Holy Seal","4","Small Absorption","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Venomvamdemon","VenomVamdemon","5-533","Queen","40","5","103","91","110","81","Dark","N/A","Ultimate","Extra Large Damage Return","14","Extreme Elements","10","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Magnakidmon","MagnaKidmon","5-540","King","50","6","100","103","123","101","Dark","N/A","Ultimate","Holy Seal","4","Small Absorption","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Avengekidmon","AvengeKidmon","5-541","God","60","7","109","112","132","110","Dark","N/A","Ultimate","Holy Seal","4","Small Absorption","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Belialvamdemon","BelialVamdemon","5-554","God +","60","5","147","168","138","102","Dark","N/A","Ultimate","Dark Release","7","Large Absorption","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Mummymon","","5-555","Uncommon","30","3","111","88","111","99","Dark","N/A","Perfect","Large Dark Defense Boost","14","Dark Release","8","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Archnemon","","5-556","Uncommon","30","3","89","104","97","88","Dark","N/A","Perfect","Large Dark Attack Boost","13","Large Defense Boost","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Skullbaluchimon","SkullBaluchimon","5-566","King","50","4","142","122","118","108","Dark","N/A","Perfect","Large Absorption","9","Large Dark Attack Boost","13","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Titamon","","5-567","God +","60","7","202","154","148","107","Dark","N/A","Ultimate","Damage Enemy","15","Dark Release","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Digitamamon","","5-568","Queen","40","3","112","78","88","102","Dark","N/A","Perfect","Recovery Boost 2","7","Weaken All Enemies","14","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Fugamon","","5-569","Rare","30","2","72","52","76","56","Dark","N/A","Adult","Evolution 1","6","All Attack","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Flymon","","5-588","Queen","40","5","142","118","100","11","Dark","N/A","Adult","Small Absorption","5","25% Defense","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Titamon","","5-747","God","60","7","176","126","121","98","Dark","N/A","Ultimate","Damage Enemy","16","Dark Drive","5","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Kaiserleomon","KaiserLeomon","5-784","God","60","6","172","168","162","146","Dark","N/A","Hybrid","Large Damage to All","15","Small Enemy Attack Delay","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Chimairamon","","5-799","God","60","6","157","124","266","126","Dark","N/A","Ultimate","Suicide Attack","11","Recovery Boost 2","7","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Millenniumon","","5-802","God +","60","7","240","128","216","142","Dark","N/A","Ultimate","Big Enemy Attack Delay","14","Dark Drive","4","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Ornismon","","5-841","God","60","7","168","200","141","125","Dark","N/A","Ultimate","Enemy Attack Down Large","13","Extreme Elements","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Matadrmon","","5-881","God","60","6","142","118","154","187","Dark","N/A","Perfect","Dark Release","7","Medium Damage Return","6","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Metalfantomon","MetalFantomon","5-882","God","60","6","207","132","142","136","Dark","N/A","Perfect","Weaken Holy Enemies","11","All Dark","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
"Dark","Pharaohmon","","5-883","God","60","6","157","207","184","127","Dark","N/A","Ultimate","Wild Boost","7","Small Enemy Attack Delay","9","https://digimon.fandom.com/wiki/Digimon%20Heroes!/Collection/Dark"
